DESCRIPCION	COD_DPTO
EL DEAN	7
EL DESCANSO	19
EL DESIERTO	2
EL DESTINO	16
EL DIABLO	19
EL DIAMANTE	5
EL DIAMANTE	18
EL DORADO	3
EL EMPEDRADO	26
EL FISCO	2
EL HOYO	17
EL HUAICO	16
EL JUMIAL	12
EL JUNIALITO	5
EL MALACARA	11
EL MANANTIAL	21
EL MISTOL	23
EL MOJON	19
EL MOJON	27
EL MOJONCITO	9
EL NEGRITO	10
EL OJITO	19
EL OSO	16
EL PACARA	13
EL PALOMAR	8
EL PALOMAR	13
EL PALOMAR	13
EL PALOMAR	17
EL PALOMAR	20
EL PARAISO	20
EL PERAL	3
EL PERSEGUIDO	8
EL PERTIGO	17
EL PIRUCHO	10
EL POLEAR	5
EL PORVENIR	2
EL PORVENIR	12
EL PORVENIR	19
EL PORVENIR	20
EL PUEBLITO	20
EL PUENTE	5
EL PUENTE	25
EL PUESTITO	5
EL PUESTITO	7
EL PUESTITO	12
EL PUESTO	18
EL PUESTO	20
EL PUESTO	21
EL QUEBRACHAL	23
EL QUEMADO	10
EL QUEMADO	15
EL QUEMADO	19
EL QUILLIN	12
EL REMANSO	14
EL REMATE	19
EL RETIRO	5
EL RETIRO	18
EL RETIRO	18
EL RETIRO	21
EL RINCON	9
EL RINCON	13
EL RINCON	21
EL RODEO	7
EL ROSARIO	5
EL ROSARIO	8
EL ROSARIO	17
EL ROSARIO	19
EL ROSARIO	23
EL SALADILLO	19
EL SALVADOR	9
EL SAUCE	18
EL SIMBOL	6
EL SIMBOL-ALBERDI	2
EL SIMBOLAR	12
EL TOBIANA	11
EL UCLE	1
EL VALLE	2
EL VEINTICINO	20
EL VIZCACHERAL	14
ENSENADA	19
ESTACION ATAMISQUI	3
ESTANCIA VIEJA	21
ESTEROS	2
FERNANDEZ	23
FLORIDA	2
FLORIDA	9
FORRES	23
FORTIN INCA	6
FRIAS	9
GALEANO	21
GARCEANO	25
GARZA	26
GIRARDET	17
GRAMILLA	13
GRANADERO GATICA	17
GUAÑAGASTA	4
GUAMPACHA	12
GUANACO SOMBRIANA	3
GUARDIA ESCOLTA	6
GUASAYAN	12
GUAYPE	26
GUERRA	24
HAASE	17
HERNAN MEJIA MIRAVAL	17
HERRERA	4
HORCOS TUCUCUNA	20
HORNILLO	3
HORNILLO	26
HOYON	3
HUACHANA	2
HUAICO HONDO	7
HUAYCURU	5
HUCHO PALLANA	17
HUILLA CATINA	5
HUILLA CATINA	10
HURITU HUASI	26
HUYAMAMPA	5
ICAÑO	4
INGENIERO EZCURRA	7
INTI HUASI	18
ISCA YACU	13
ISLA BAJA	6
ISLA DE ARAGONES	21
ISLA DE LOS SOTELOS	21
ISLA DE ROJAS	5
ISLA VERDE	3
ISLA VERDE	14
JACIMAMPA	20
JAMIAL GRANDE	10
JIMENEZ	23
JUANILLO	3
JUMI POZO	5
JUMI POZO	14
JUMI POZO	15
JUMI VIEJO	10
JUMIALITO	10
JUNI POZO	19
KENTI TACO	21
KILOMETRO	11
KILOMETRO 18	9
KILOMETRO 477	15
KILOMETRO 49	18
KILOMETRO 55	9
LA ABRA	18
LA ABRITA	27
LA AGUADA	21
LA ALEMANA	6
LA ALOJA	19
LA ANGELITA	2
LA ARMONIA	2
LA ARMONIA	8
LA ARMONIA	19
LA AURORA	5
LA AURORA	8
LA BELLA CRIOLLA	20
LA BLANCA	1
LA BLANCA	9
LA BLANCA	19
LA BLANCA	23
LA BLANCA	25
LA BLANCA	26
LA BREA	10
LA CAÑADA	5
LA CAÑADA	8
LA CAÑADA	10
LA CAÑADA	18
LA CAÑADA	25
LA CALERA	12
LA CALERA	18
LA CAROLINA	6
LA CHILCA	12
LA CHILCA	18
LA CHILCA	18
LA CLEMIRA	18
LA COSTA	4
LA COSTOSA	13
LA CRUZ	15
LA CRUZ	18
LA CRUZ	26
LA CUCHILLA	23
LA DARSENA	5
LA DONOSA	21
LA DORMIDA	14
LA ENSENADA	2
LA ENSENADA	9
LA ESMERALDA	1
LA ESMERALDA	11
LA ESPERANZA	6
LA ESPERANZA	7
LA ESPERANZA	8
LA ESPERANZA	9
LA ESPERANZA	10
LA ESPERANZA	13
LA ESPERANZA	18
LA ESQUINA	9
LA ESQUINA	21
LA FALDA	5
LA FALDA	26
LA FIRMEZA	8
LA FLORIDA	9
LA FLORIDA	18
LA FLORIDA	19
LA FLORIDA	23
LA FORTUNA	2
LA FORTUNA	13
LA FRAGUA	19
LA GRANJA	5
LA GRANJA	8
LA GUARDIA	9
LA GUARDIA	10
LA GUARDIA	10
LA GUARIDA	5
LA HIGUERA	25
LA HIGUERA	27
LA INVERNADA	10
LA ISLA	5
LA ISLA	18
LA LAGUNA	9
LA LAGUNA	20
LA LOMA	10
LA LOMA	26
LA MELADA	9
LA MELADA	13
LA NEGRITA	15
LA NENA	11
LA NORIA	3
LA NORIA	14
LA PALMA	17
LA PALOMA	2
LA PALOMA	17
LA PALOMA	24
LA PAMPA	6
LA PAMPA	17
LA PAMPA	18
LA PAMPA	20
LA PAZ	23
LA PAZ	26
LA PETRONILA	26
LA PORTEÑA	9
LA PORTEÑA	7
LA PRIMAVERA	18
LA PUERTA	18
LA PUERTA	18
LA PUERTA	21
LA PUNTA	9
LA REBANCHA	14
LA REPRESA	9
LA RIVERA	23
LA ROMELIA	22
LA SIMONA	6
LA SIMONA	11
LA TAPA	10
LA TIJERA	5
LA TRAMPA	20
LA UNION	2
LA UNION	8
LA UNION	22
LA VIRTUD	8
LA VIUDA	14
LA VUELTA DE LA BARRANCA	7
LAGUNA BLANCA	14
LAGUNA DEL SUNCHO	20
LAGUNILLA	14
LAPRIDA	9
LAS ABRAS	21
LAS ABRAS-MITRE	16
LAS AGUILAS	2
LAS AGUILAS	18
LAS CAÑAS	20
LAS CEJAS	7
LAS CEJAS	21
LAS CHACRAS	5
LAS CHACRAS	18
LAS CHARCAS	19
LAS COLONIAS	5
LAS COLONIAS	20
LAS DELICIAS	1
LAS DELICIAS	19
LAS DOLORES	6
LAS FLORES	9
LAS FLORES	11
LAS FLORES	12
LAS FLORES	18
LAS FLORES	20
LAS JUNTAS	12
LAS LAJAS	19
LAS LOMAS	18
LAS LOMAS	19
LAS LOMAS	24
LAS LOMITAS	18
LAS LOMITAS	18
LAS MARAVILLAS	12
LAS PEÑAS	9
LAS PERFORACIONES	2
LAS PUERTAS	19
LAS RANDAS	17
LAS TINAJAS	17
LAS VIVORITAS	16
LAVALLE	8
LAVALLE	12
LESCANO	18
LEZCANOS	21
LIBERTAD	17
LIBERTAD	19
LILO VIEJO	17
LIMACHE	16
LLAJTA MAUCA	15
LOJLO	15
LOMA DE YESO	12
LOMA DEL MEDIO	21
LOMAS BLANCAS	19
LOMITAS	3
LOMITAS	9
LOMITAS	10
LOMITAS	14
LOMITAS	18
LOMITAS	23
LOMITAS BLANCAS	18
LORETO	14
LORO HUASI	21
LOS ALDERETES	5
LOS ARIAS	23
LOS CARDOZOS	7
LOS CERILLOS	12
LOS CERRILLOS	9
LOS CERRILLOS	24
LOS CESPEDES	5
LOS ENCANTOS	22
LOS FLORES	7
LOS GALLEGOS	25
LOS HERRERAS	5
LOS JURIES	11
LOS LINARES	11
LOS MILAGROS	1
LOS MILAGROS	17
LOS MOLLES	19
LOS MOLLES	20
LOS NARANJOS	5
LOS NUÑEZ	21
LOS PEREIRA	23
LOS PIRPINTOS	8
LOS POCITOS	11
LOS QUEBRACHOS	13
LOS QUEBRACHOS	20
LOS QUIROGA	5
LOS RALOS	9
LOS RALOS	13
LOS REMANSOS	20
LOS ROBLES	13
LOS ROMANOS	23
LOS SAUCES	3
LOS TABLEROS	6
LOS TELARES	24
LOS TIGRES	8
LOTE 25	11
LUGONES	4
LUJAN	4
MACO	7
MACO	10
MAGDALENA	17
MAILIN	4
MAJADAS	25
MAL PASO	4
MAL PASO	24
MALBRAN	1
MALOTA	24
MANANTIALES	21
MANGRULLO	12
MANOGASTA	27
MANSUPA	21
MAQUITA	7
MARAVILLA	1
MARAVILLA	8
MARAVILLA	9
MARAVILLA	19
MARCOSPA	17
MARTIN GARCIA	13
MATARA	15
MEDELLIN	3
MEDIA FLOR	5
MEDIA LUNA	8
MEDIA LUNA	19
MELERO	15
MENDOZA	9
MERCEDES	7
MERCEDES	8
MERCEDES	17
MIEL DE PALO	11
MILAGRO	15
MILAGRO	17
MILAGRO	18
MILI	23
MINERVA	10
MIRANDA	21
MISTOL MUYOJ	21
MISTOL PAMPA	17
MISTOLITO	8
MONTE ALTO	17
MONTE POTRERO	19
MONTE QUEMADO	8
MONTE QUEMADO	19
MONTE REDONDO	9
MONTE REDONDO	10
MONTE REDONDO	14
MONTE RICO	2
MONTE RICO	27
MONTE VERDE	2
MONTE VERDE	18
MORALES	7
MORAMPA LORETO	14
NARANJITO	2
NARANJITO	21
NARANJITOS	18
NASALO	15
NAVARRO	24
NEGRA MUERTA	18
NORQUEOJ	2
NUEVA CERES	22
NUEVA ESPERANZA	8
NUEVA ESPERANZA	19
NUEVA FRANCIA	27
NUEVA GRANADA	2
NUEVA GRANADA	15
NUEVA TRINIDAD	1
NUEVA TRINIDAD	5
NUEVO LIBANO	2
OBRAJE LOS TIGRES	8
OBRAJE MAILIN	11
OJO DE AGUA	18
ONCAN	18
ORATORIA	20
OTUMPA	17
OVEJEROS	21
PAAJ MUYO	4
PAAJ POZO	8
PAAJ RODEO	26
PALIZAS	24
PALMA FLOR	12
PALMA LARGA	21
PALMA POZO	2
PALMA REDONDA	21
PALMARES	5
PALMITAS	5
PALMITAS	12
PALO NEGRO	22
PALOMAR	17
PALOS QUEMADOS	5
PAMPA DE LOS GUANACOS	8
PAMPA GRANDE	18
PAMPA MAYO	5
PAMPA MUYOJ	7
PAMPA MUYOJ	17
PAMPA POZO	12
PAMPA POZO	14
PAMPA POZO	15
PAMPA POZO	17
PAMPA POZO	17
PAMPA POZO	19
PAMPA TOTORA LORETO	14
PARAJE BAJO CHICO	25
PARAJE EL 20	4
PARAJE LOA	23
PARAJE POZO SUNI	23
PARANA	8
PARANA	9
PASO DE OSCARES	24
PASO GRANDE	4
PATAY	17
PATILLO	21
PERCAS	4
PERCHIL BAJO	14
PERCHIL BAJO	25
PIEDRA BLANCA	18
PINTO	1
PIRUITAS	14
PLATERO	8
POZO BETBEDER	19
POZO CABADO	4
POZO CABADO	12
POZO CABADO	18
POZO CASTAÑO	10
POZO CERCADO	9
POZO CERCADO	21
POZO CIEGO	14
POZO DE LA PUERTA	9
POZO DE VILLEGAS	19
POZO DEL ARBOLITO	21
POZO DEL CAMPO	9
POZO DEL CHAÑAR	18
POZO DEL CHAÑAR	20
POZO DEL MONTE	20
POZO DEL TOBA	13
POZO DEL TOBA	15
POZO DULCE	6
POZO GRANDE	2
POZO GRANDE	15
POZO GRANDE	18
POZO GRANDE	21
POZO HALLADO	8
POZO HERRERA	11
POZO HONDO	13
POZO HUASCHO	12
POZO LIMPIO	2
POZO MOSOJ	25
POZO MUERTO	2
POZO NUEVO	7
POZO VERDE	20
POZO VERDE	23
POZO VIEJO	15
POZUELOS	21
PUENTE DEL SALADILLO	24
PUENTE NEGRO	4
PUERTA CHIQUITA	12
PUERTA DEL MONTE	20
PUESTITO	25
PUESTITO DE SAN ANTONIO	7
PUESTO	9
PUESTO	18
PUESTO DE DIAZ	3
PUESTO DE DIAZ	12
PUESTO DE JUANES	14
PUESTO DE VIEYRA	7
PUESTO DEL MEDIO	2
PUESTO DEL MEDIO	12
PUESTO DEL MEDIO	18
PUESTO DEL MEDIO	19
PUESTO DEL MEDIO	20
PUESTO DEL MEDIO	27
PUESTO DEL RETIRO	21
PUESTO DEL ROSARIO	3
PUESTO NUEVO	7
PUESTO NUEVO	19
PUESTO NUEVO	21
PUNA	17
PUNI TAJO	11
PUNTA CORRAL	4
PUNTA DEL MONTE	1
PUNTA POZO	3
PUNTA POZO	4
PUNTA POZO	21
QUEBRACHAL	10
QUEBRACHAL	18
QUEBRACHITO	18
QUEBRACHITOS	1
QUEBRACHITOS	16
QUEBRACHO COTO	19
QUEBRACHOS	9
QUEBRACHOS	12
QUEBRACHOS	21
QUEBRADA ESQUINA	19
QUENTI TACO	18
QUILUMPA	17
QUIMILI	17
QUIMILIOJ	10
QUISHKA	5
QUITA PUNCO	5
RAMA PASO	20
RAMADITA	14
RAMADITA	20
RAMIREZ DE VELAZCO	20
RANCHITOS	2
RANCHITOS	19
RAPELLI	19
REAL SAYANA	4
REMANCITO	9
REMANCITO	10
REMANCITO	17
REMES	7
REPARO	10
REPRESA	4
RETIRO	2
RETIRO	13
RETIRO	16
RETIRO	18
RETIRO	20
RIMBOL	27
RINCON	5
RINCON	10
RINCON	18
RIO DE LA PLATA	8
RIO MUERTO	2
RIO VIEJO	20
RIVADAVIA	2
RIVADAVIA	23
ROBLES	25
RODEANA	5
RODEANA	6
RODEO DE SORIA	7
ROMANOS	23
ROSARIO	13
ROVERSI	17
RUBIA MORENO	5
RUBIA PASO	24
RUMI ESQUINA	9
RUMI JACU	20
RUMIOS	5
SABAGASTA	24
SACHAYOJ	2
SALADILLO	2
SALADILLO	21
SALADILLO	24
SALAVINA	24
SALVIAIOJ GAITAN	4
SAN AGUSTIN	9
SAN AGUSTIN	27
SAN ANDRES	20
SAN ANDRES	23
SAN ANTONIO	4
SAN ANTONIO	5
SAN ANTONIO	15
SAN ANTONIO	17
SAN ANTONIO	27
SAN ANTONIO (LAVALLE)	12
SAN ANTONIO (SAN PEDRO)	12
SAN ANTONIO DE COPO	4
SAN ANTONIO DE LOS CACERES	7
SAN BENITO	9
SAN BENITO	27
SAN CARLOS	5
SAN CARLOS	8
SAN CARLOS	15
SAN CARLOS	17
SAN CARLOS	20
SAN CARLOS	21
SAN DIONICIO	3
SAN ENRIQUE	25
SAN FELIPE	5
SAN FELIPE	10
SAN FELIPE	17
SAN FELIX	5
SAN FELIX	13
SAN FERNANDO	24
SAN FRANCISCO	15
SAN FRANCISCO	17
SAN FRANCISCO	18
SAN FRANCISCO	20
SAN FRANCISCO (CNEL FERNANDEZ)	20
SAN GREGORIO	13
SAN GREGORIO	14
SAN IGNACIO	14
SAN IGNACIO	18
SAN IGNACIO	27
SAN IGNACIO (PIEDRA BLANCA)	18
SAN ISIDRO	2
SAN ISIDRO	4
SAN ISIDRO	5
SAN ISIDRO	7
SAN ISIDRO	8
SAN ISIDRO	10
SAN ISIDRO	10
SAN ISIDRO	14
SAN ISIDRO	17
SAN ISIDRO	18
SAN JAVIER	5
SAN JAVIER	18
SAN JAVIER	20
SAN JAVIER	23
SAN JERONIMO	14
SAN JORGE	10
SAN JORGE	20
SAN JOSE	1
SAN JOSE	4
SAN JOSE	9
SAN JOSE	10
SAN JOSE	12
SAN JOSE	14
SAN JOSE	20
SAN JOSE	22
SAN JOSE	26
SAN JOSE DE FLORES	25
SAN JOSE DEL BOQUERON	8
SAN JOSE MONTE REDONDO	10
SAN JOSE-AVELLANEDA	4
SAN JUAN	5
SAN JUAN	8
SAN JUAN	9
SAN JUAN	12
SAN JUAN	14
SAN JUAN	18
SAN JUSTO	9
SAN LORENZO	5
SAN LORENZO	7
SAN LORENZO	12
SAN LORENZO	20
SAN LUIS	2
SAN LUIS	3
SAN LUIS	4
SAN LUIS	5
SAN LUIS	14
SAN LUIS	15
SAN LUIS	17
SAN LUIS	18
SAN LUIS	20
SAN MANUEL	9
SAN MARTIN	5
SAN MARTIN	17
SAN MARTIN	20
SAN MATEO	20
SAN MIGUEL	9
SAN MIGUEL	14
SAN NICOLAS	10
SAN NICOLAS	24
SAN NICOLAS (ABRA GRANDE)	5
SAN NICOLAS (SIMBOLAR)	5
SAN PABLO	5
SAN PABLO	10
SAN PABLO	10
SAN PABLO	14
SAN PABLO	17
SAN PABLO	21
SAN PEDRO	5
SAN PEDRO	9
SAN PEDRO	12
SAN PEDRO	13
SAN PEDRO	15
SAN PEDRO	17
SAN PEDRO	26
SAN PEDRO (BAEZ)	18
SAN PEDRO (KILOMETRO 49)	18
SAN PEDRO (MAILIN)	4
SAN PEDRO (OJO DE AGUA)	18
SAN PEDRO (PUNTA CORRAL)	4
SAN RAMON	2
SAN RAMON	4
SAN RAMON	5
SAN RAMON	9
SAN RAMON	12
SAN RAMON	15
SAN RAMON	17
SAN RAMON	18
SAN RAMON	20
SAN RAMON	23
SAN RAMON-PELLEGRINI	19
SAN ROQUE	4
SAN ROQUE	5
SAN ROQUE	9
SAN ROQUE	10
SAN ROQUE	17
SAN VICENTE	2
SAN VICENTE	8
SAN VICENTE	23
SAN VICENTE	26
SAN VICENTE	27
SAN VICENTE-FOGUEROA	10
SAN VICENTE-LORETO	14
SANAVIRONES	11
SANTA ANA	1
SANTA ANA	9
SANTA ANA	20
SANTA BARBARA	14
SANTA BRIGIDA	20
SANTA CATALINA	6
SANTA CATALINA	12
SANTA CLARA	18
SANTA CRUZ	2
SANTA CRUZ	5
SANTA CRUZ	19
SANTA ELENA	17
SANTA ELENA	20
SANTA INES	23
SANTA JUSTINA	17
SANTA LUCIA	9
SANTA LUCIA	17
SANTA LUCIA	24
SANTA LUCIA	24
SANTA MARIA	7
SANTA MARIA	14
SANTA MARIA	15
SANTA MARIA	17
SANTA MARIA	18
SANTA MARIA	20
SANTA MARIA (LA CAÑADA)	10
SANTA MARIA (VILLA FIGUEROA)	10
SANTA RITA	5
SANTA RITA	9
SANTA RITA	10
SANTA RITA	17
SANTA ROSA	2
SANTA ROSA	7
SANTA ROSA	8
SANTA ROSA	12
SANTA ROSA	14
SANTA ROSA	18
SANTA ROSA	19
SANTA ROSA	20
SANTA ROSA (LA CAÑADA)	10
SANTA ROSA (SAN PABLO)	10
SANTA ROSA (SAN RAMON)	5
SANTA ROSA (SIMBOLAR)	5
SANTO DOMINGO	4
SANTO DOMINGO	5
SANTO DOMINGO	7
SANTO DOMINGO	10
SANTO DOMINGO	17
SANTO DOMINGO PELLEGRINI	19
SANTO DOMINGO PELLEGRINI	19
SANTO DOMINGO-OJO DE AGUA	18
SANTOS LUGARES	2
SANTOS LUGARES	5
SANTOS LUGARES	12
SARA PAMPA	19
SAUCE BAJADA	4
SAUCE SOLO	14
SAUZAL	21
SELVA	22
SESTEADERO	19
SEÑORA PUJIO	5
SHISHI POZO	9
SIETE ARBOLES	12
SIETE ARBOLES	19
SILIPICA	27
SIMBOL	17
SIMBOL BAJO	11
SIMBOL CAÑADA	5
SIMBOL POZO	19
SIMBOLAR	5
SIMBOLAR	18
SINCHI CAÑA	9
SOCONCHO	4
SOL DE JULIO	18
SOL DE MAYO	3
SOL DE MAYO	7
SOL DE MAYO	9
SOTELILLOS	21
SOTELOS	21
STAYLE	17
SUMAMAO	27
SUMANPA	20
SUNCHITUYOJ	4
SUNCHO CORRAL	15
SUNCHO POZO	11
SUNCHO POZO	25
SURI POZO	5
SURI POZO	18
SURI POZO	18
SURIHUAYA	17
TABIANITA	17
TABLADA DEL BOQUERON	10
TABOADA	25
TACAÑITAS	11
TACANITAS	19
TACO ATUN	11
TACO BAJADA	19
TACO POZO	2
TACO POZO	20
TACO PUJIO	23
TACO TOTARAYOJ	24
TACOYOJ	5
TACOYOJ	25
TAJAMAR	10
TALA	4
TALA	21
TALA POZO	7
TALA POZO	12
TALA POZO	21
TALA POZO	23
TALA POZO	25
TALA YACU	18
TAPSO	9
TAQUELLO	21
TAQUETUYOJ	14
TERMAS DE RIO HONDO	21
TINAPJERAYOJ	11
TINCO	21
TINTINA	17
TIO ALTO	24
TIO POZO	14
TIPIRO	7
TIUN PUNCO	15
TIUN PUNCO	15
TOBAS	15
TOMAS YOUNG	11
TORO PAMPA	4
TORO PAMPA	8
TORO POZO	13
TORO POZO	13
TORO POZO	26
TOSCA POZO	10
TOTORILLAS	13
TOTORILLAS	18
TRAMO 16	5
TRES BAJADAS	14
SAN JOSE	5
TRES CERROS	12
ESTACION SIMBOLAR	5
TRES CRUCES	13
LOS SORIA	5
TRES FLORES	13
GRAN PORVENIR	5
TRES LAGUNAS	1
SANTA ELENA	5
TRES LAGUNAS	6
COLONIA MARIA LUIS	5
TRES MOJONES	17
LA BAJADA	5
TRES POZOS	1
TRES POZOS	11
PUESTO DEL MEDIO	5
TRES POZOS	17
TABLA REDONDA	5
TROZO POZO	27
LOS ACOSTA	5
TUCANITAS	14
COLONIA ARGENTINA	5
TUNAS PUNCO	7
TUSCA BAJADA	19
TUSCA POZO	10
TUSCA POZO	13
TUSCA POZO	14
TUSCA POZO (FERNANDEZ)	23
TUSCA POZO (SAN VICENTE)	14
UNION	16
UPIANITA	7
LOMA BLANCA	16
URUTAU	8
PASO DE OSCARES	16
UTURUNCO	13
EL ALBORDON	16
VACA HUA|UNA	10
VACA HUMAN	24
VERON	24
VILELAS	15
LOMA BLANCA	24
VILLA ABREGU	11
VILLA ATAMISQUI	3
VILLA BALNEARIA	21
PARAJE BOQUERON	3
VILLA BRANA	17
LA BAJADITA	3
VILLA FIGUEROA	10
VILLA GUASAYAN	12
JUME ESQUINA	10
VILLA HIPOLITA	23
TOTORILLA	10
VILLA JIMENEZ	21
LUJAN	10
VILLA LA PUNTA	9
KM 0	10
VILLA MATARA	26
VINAL ISLA	10
VILLA MATOQUE	8
CANDELARIA	10
VILLA MERCEDES	19
CAMPO DE MAYO	8
VILLA NUEVA	19
EL PUESTO	8
VILLA NUEVA	19
SANTA TERESA	8
VILLA NUEVA	25
SANTA SILVINA	8
VILLA PALMAR	2
SAN MIGUEL	8
